SERVICED?,STATION_NO,CONSECUTIVE_DEPLOY_NO,DEPLOYMENT_DATE,RECOVERY_DATE,Downloaded?,IN_DATA_SET,Lat_deg,Lat_min,Lon_deg,Lon_min,BOTTOM_DEPTH,VR2_SERIAL_NO,AR_SERIAL_NO,AR_EXPECTED_BATTERY_LIFE,AR_VOLTAGE_AT_DEPLOY,AR_RELEASE_CODE,Temp Logger serial,STEVES_ARBITRARY_LOCATION_CODES,DEPLOYED_BY (Lead Technicians),Recovered By,COMMENTS_DEPLOYMENT,COMMENTS_RECOVERY
,Oahu - Makapuu BRFA 2,,12/8/14 0:00,,,0,21,26.839,-157,41.646,,102200,291344-010,,,040-7,,,Scherrer,,BRFA E Northern Fence,
,Oahu - Makapuu BRFA 6,,12/8/14 0:00,,,0,21,22.668,-157,38.928,,103543,291344-007,,,040-5,,,Scherrer,,,
1,Oahu - Makapuu BRFA 17,,12/8/14 0:00,5/30/15 14:00,LOST,0,21,15.384,-157,41.728,,103911,,,,009-4,,,Scherrer,,BRFA E Southern Fence. Can not be communicated via deck box. Unknown if equipment missing or release has failed.,
,Oahu - Makapuu BRFA 9,,12/8/14 0:00,,,0,21,20.478,-157,35.478,,108467,291344-005,,,040-6,,,Scherrer,,,
,Oahu - Makapuu BRFA 3,,12/8/14 0:00,,,0,21,26.676,-157,42.056,,110298,291341-009,,,040-4,,,Scherrer,,BRFA E Northern Fence,
,Oahu - Makapuu BRFA 8,,12/8/14 0:00,,,0,21,20.838,-157,37.368,,110305,291344-002,,,040-9,,,Scherrer,,,
,"Oahu - Makapuu BRFA 15 (""Makapuu In BRFA"")",,12/8/14 0:00,,,0,21,18.48,-157,34.126,,110308,291344-009,,,020-1,,,Scherrer,,"Same Position as prevoius ""Makapuu_IN_BRFA"" deployments",
,Oahu - Makapuu BRFA 4,,12/8/14 0:00,,,0,21,26.515,-157,42.462,,110311,291344-004,,,040-3,,,Scherrer,,BRFA E Northern Fence,
1,Oahu - Makapuu BRFA 7,,12/8/14 0:00,,,0,21,20.958,-157,39.168,,110319,,,,004-1,,,Scherrer,,,
,Oahu - Makapuu BRFA 10,,12/8/14 0:00,,,0,21,19.758,-157,38.358,,123732,291344-009,,,002-1,,,Scherrer,,,
,Oahu - Makapuu BRFA 5,,12/8/14 0:00,,,0,21,26.35,-157,42.875,,123733,291344-003,,,020-2,,,Scherrer,,BRFA E Northern Fence,
,Oahu - Makapuu BRFA 16,,12/8/14 0:00,,,0,21,18.048,-157,32.839,,123734,291344-001,,,020-3,,,Scherrer,,,
,Oahu - Makapuu BRFA 14,,12/8/14 0:00,,,0,21,17.958,-157,35.118,,123735,259240-001,,,001-3,,,Scherrer,,,
,Oahu - Makapuu BRFA 1,,12/8/14 0:00,,,0,21,27.002,-157,41.236,,123736,256240-004,,,004-3,,,Scherrer,,BRFA E Northern Fence,
,Oahu - Makapuu BRFA 11,,12/8/14 0:00,,,0,21,18.708,-157,37.668,,123737,291344-003,,,040-2,,,Scherrer,,,
,Oahu - Makapuu BRFA 13,,12/8/14 0:00,,,0,21,17.958,-157,36.198,,123738,,,,005-3,,,Scherrer,,,
,Oahu - Makapuu BRFA 12,,12/8/14 0:00,,,0,21,19.008,-157,36.618,,123740,291341-010,,,040-8,,,Scherrer,,,
,Oahu - Makapuu BRFA 22,,5/25/15 0:00,,,0,21,16.404,-157,32.3574,,102202,256240-003,,,003-3,,,Scherrer,,Receiver at 12 fathoms. floats at 15 fath. Batteries not swapped from last deployment in Jan 2015.,
,Oahu - Makapuu BRFA 23,,5/25/15 0:00,,,0,21,16.40418,-157,32.82890229,,110317,286655-010,,,286-4,,,Scherrer,,Receiver at 12 fathoms. floats at 15 fath. Batteries not swapped from last deployment in Jan 2015.,
,Oahu - Makapuu BRFA 24,,5/25/15 0:00,,,0,21,16.4043,-157,33.29875894,,110245,256240-005,,,005-3,,,Scherrer,,Receiver at 12 fathoms. floats at 15 fath. Batteries not swapped from last deployment in Jan 2015.,
,Oahu - Makapuu BRFA 25,,5/25/15 0:00,,,0,21,16.40442,-157,33.77042417,,110312,286655-009,,,286-3,,,Scherrer,,Receiver at 12 fathoms. floats at 15 fath. Batteries not swapped from last deployment in Jan 2015.,
,Oahu - Makapuu BRFA 26,,5/26/15 0:00,,,0,21,16.40454,-157,34.24275597,,110243,258477-004,,,008-1,,,Scherrer,,Receiver at 12 fathoms. floats at 15 fath. Batteries not swapped from last deployment in Jan 2015.,
,Oahu - Makapuu BRFA 27,,5/26/15 0:00,,,0,21,16.40454,-157,34.71414384,,102203,258477-001,,,008-2,,,Scherrer,,Receiver at 12 fathoms. floats at 15 fath. Batteries not swapped from last deployment in Jan 2015.,
,Oahu - Makapuu BRFA 28,,5/26/15 0:00,,,0,21,16.4046,-157,35.188,,123731,272366-008,,,008-4,,,Scherrer,,Receiver at 12 fathoms. floats at 15 fath. Batteries not swapped from last deployment in Jan 2015.,
,Oahu - Makapuu BRFA 29,,5/30/15 0:00,,,0,21,16.4046,-157,35.661,,123742,291344-008,,,040-1,,,Scherrer,,Receiver at 12 fathoms. floats at 15 fath. Batteries not swapped from last deployment in Jan 2015.,
,Oahu - Makapuu BRFA 30,,5/30/15 0:00,,,0,21,16.4046,-157,36.134,,110315,256240-007,,,007-3,,,Scherrer,,Receiver at 12 fathoms. floats at 15 fath. Batteries not swapped from last deployment in Jan 2015.,
,Oahu - Makapuu BRFA 31,,5/30/15 0:00,,,0,21,16.4046,-157,36.608,,102199,256240-009,,,009-3,,,Scherrer,,Receiver at 12 fathoms. floats at 15 fath. Batteries not swapped from last deployment in Jan 2015.,
,Oahu - Makapuu BRFA 32,,5/30/15 0:00,,,0,21,16.4046,-157,37.081,,123739,286655-007,,,286-1,,,Scherrer,,Receiver at 12 fathoms. floats at 15 fath. Batteries not swapped from last deployment in Jan 2015.,
,Oahu - Makapuu BRFA 33,,5/30/15 0:00,,,0,21,16.4045,-157,37.554,,110314,272366-007,,,007-4,,,Scherrer,,Receiver at 12 fathoms. floats at 15 fath. Batteries not swapped from last deployment in Dec 2014.,
,Oahu - Makapuu BRFA 34,,5/30/15 0:00,,,0,21,16.4044,-157,38.027,,123741,272366-001,,,005-2,,,Scherrer,,Receiver at 12 fathoms. floats at 15 fath. Batteries not swapped from last deployment in Dec 2014.,
,Oahu - Makapuu BRFA 35,,9/17/15 10:35,,,0,21,23.988,-157,38.418,,103912,285719-004,,,007-2,,,Scherrer,,,
,Oahu - Makapuu BRFA 36,,9/17/15 0:00,,,0,21,24.078,-157,40.458,,127740,301629-009,,,026-1,,,Scherrer,,,
,Oahu - Makapuu BRFA 37,,9/17/15 0:00,,,0,21,23.298,-157,38.778,,127741,301629-008,,,026-2,,,Scherrer,,,
,Oahu - Makapuu BRFA 38,,9/17/15 0:00,,,0,21,22.998,-157,40.068,,127742,303054-001,,,026-3,,,Scherrer,,,