"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60"
"1","-158.208766666667","21.41835","-158.149383333333","21.3496333333333","-158.272766666667","21.5477833333333","-158.10925","21.2648","-158.0268","21.2373666666667","-157.5722","21.308","-157.8134","21.2315166666667","-158.192766666667","21.6744","-157.96905","21.7777833333333","-157.57915","20.90865","-157.347066666667","21.00285","","","-157.41275","20.9551333333333","-157.355266666667","20.9893833333333","-157.735016666667","20.8584833333333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","-158.208766666667","21.41835","-158.272766666667","21.5477833333333","-158.10925","21.2648","-158.0268","21.2373666666667","-157.5722","21.308","-157.8134","21.2315166666667","-158.192766666667","21.6744","-157.96905","21.7777833333333","-157.57915","20.90865","-157.347066666667","21.00285","","","-157.41275","20.9551333333333","-157.355266666667","20.9893833333333","-157.735016666667","20.8584833333333","-157.590783333333","21.33735","-157.693633333333","21.439","-157.5722","21.308","-157.5722","21.308","","","","","","","","","","","","","","","","","","","","","","","",""
"3","-158.208766666667","21.41835","-157.5722","21.308","-157.8134","21.2315166666667","-158.192766666667","21.6744","-157.96905","21.7777833333333","-157.57915","20.90865","-157.347066666667","21.00285","","","-157.41275","20.9551333333333","-157.355266666667","20.9893833333333","-157.735016666667","20.8584833333333","-157.590783333333","21.33735","-157.693633333333","21.439","-157.5722","21.308","-157.5722","21.308","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","-157.5722","21.308","-157.8134","21.2315166666667","-158.192766666667","21.6744","-157.96905","21.7777833333333","-157.57915","20.90865","-157.347066666667","21.00285","","","-157.41275","20.9551333333333","-157.355266666667","20.9893833333333","-157.735016666667","20.8584833333333","-157.590783333333","21.33735","-157.693633333333","21.439","-157.5722","21.308","-157.5722","21.308","-158.272766666667","21.5477833333333","-158.208766666667","21.41835","-158.149383333333","21.3496333333333","-158.10925","21.2648","-158.0268","21.2374666666667","","","","","","","","","","","","","","","","","","","","","",""
"5","-157.5722","21.308","-158.192766666667","21.6744","-157.96905","21.7777833333333","-157.57915","20.90865","-157.347066666667","21.00285","","","-157.41275","20.9551333333333","-157.355266666667","20.9893833333333","-157.735016666667","20.8584833333333","-157.590783333333","21.33735","-157.693633333333","21.439","-157.5722","21.308","-157.5722","21.308","-158.272766666667","21.5477833333333","-158.208766666667","21.41835","-158.149383333333","21.3496333333333","-158.10925","21.2648","-158.0268","21.2374666666667","","","","","","","","","","","","","","","","","","","","","","","",""
"6","-158.192766666667","21.6744","-157.96905","21.7777833333333","-157.57915","20.90865","-157.347066666667","21.00285","","","-157.41275","20.9551333333333","-157.355266666667","20.9893833333333","-157.735016666667","20.8584833333333","-157.590783333333","21.33735","-157.693633333333","21.439","-157.5722","21.308","-157.5722","21.308","-158.272766666667","21.5477833333333","-158.208766666667","21.41835","-158.149383333333","21.3496333333333","-158.10925","21.2648","-158.0268","21.2374666666667","-157.819583333333","21.2386166666667","-157.740783333333","21.5068166666667","-157.819583333333","21.2386166666667","-157.819583333333","21.2386166666667","","","","","","","","","","","","","","","","","",""
"7","-158.192766666667","21.6744","-157.96905","21.7777833333333","-157.57915","20.90865","-157.347066666667","21.00285","","","-157.41275","20.9551333333333","-157.355266666667","20.9893833333333","-157.735016666667","20.8584833333333","-157.590783333333","21.33735","-157.693633333333","21.439","-157.5722","21.308","-157.5722","21.308","-158.272766666667","21.5477833333333","-158.208766666667","21.41835","-158.149383333333","21.3496333333333","-158.10925","21.2648","-158.0268","21.2374666666667","-157.740783333333","21.5068166666667","","","","","","","","","","","","","","","","","","","","","","","",""
"8","-158.192766666667","21.6744","-157.96905","21.7777833333333","-157.57915","20.90865","-157.735016666667","20.8584833333333","-157.590783333333","21.33735","-157.693633333333","21.439","-157.5722","21.308","-157.5722","21.308","-158.272766666667","21.5477833333333","-158.208766666667","21.41835","-158.149383333333","21.3496333333333","-158.10925","21.2648","-158.0268","21.2374666666667","-157.740783333333","21.5068166666667","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","-158.192766666667","21.6744","-157.96905","21.7777833333333","-157.590783333333","21.33735","-157.693633333333","21.439","-157.5722","21.308","-157.5722","21.308","-158.272766666667","21.5477833333333","-158.208766666667","21.41835","-158.149383333333","21.3496333333333","-158.10925","21.2648","-158.0268","21.2374666666667","-157.740783333333","21.5068166666667","","","-157.413266666667","20.9551333333333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","-158.192766666667","21.6744","-157.96905","21.7777833333333","-157.590783333333","21.33735","-157.693633333333","21.439","-157.5722","21.308","-158.272766666667","21.5477833333333","-158.208766666667","21.41835","-158.149383333333","21.3496333333333","-158.10925","21.2648","-158.0268","21.2374666666667","-157.740783333333","21.5068166666667","","","-157.413266666667","20.9551333333333","-157.5791","20.9085166666667","-157.735066666667","20.8584333333333","-157.346733333333","21.00275","-157.3551","20.9894833333333","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","-158.192766666667","21.6744","-157.96905","21.7777833333333","-157.693633333333","21.439","-157.5722","21.308","-158.272766666667","21.5477833333333","-158.208766666667","21.41835","-158.149383333333","21.3496333333333","-158.10925","21.2648","-158.0268","21.2374666666667","-157.740783333333","21.5068166666667","","","-157.413266666667","20.9551333333333","-157.5791","20.9085166666667","-157.735066666667","20.8584333333333","-157.346733333333","21.00275","-157.3551","20.9894833333333","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","-158.192766666667","21.6744","-157.96905","21.7777833333333","-157.693633333333","21.439","-158.272766666667","21.5477833333333","-158.208766666667","21.41835","-158.149383333333","21.3496333333333","-158.10925","21.2648","-158.0268","21.2374666666667","-157.740783333333","21.5068166666667","","","-157.413266666667","20.9551333333333","-157.5791","20.9085166666667","-157.735066666667","20.8584333333333","-157.346733333333","21.00275","-157.3551","20.9894833333333","-157.594316666667","21.2622166666667","-157.5722","21.308","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","-158.192766666667","21.6744","-157.96905","21.7777833333333","-158.272766666667","21.5477833333333","-158.208766666667","21.41835","-158.149383333333","21.3496333333333","-158.10925","21.2648","-158.0268","21.2374666666667","-157.740783333333","21.5068166666667","","","-157.413266666667","20.9551333333333","-157.5791","20.9085166666667","-157.735066666667","20.8584333333333","-157.346733333333","21.00275","-157.3551","20.9894833333333","-157.594316666667","21.2622166666667","-157.5722","21.308","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","-158.192766666667","21.6744","-157.96905","21.7777833333333","-158.272766666667","21.5477833333333","-158.208766666667","21.41835","-158.149383333333","21.3496333333333","-158.10925","21.2648","-158.0268","21.2374666666667","-157.740783333333","21.5068166666667","","","-157.413266666667","20.9551333333333","-157.5791","20.9085166666667","-157.735066666667","20.8584333333333","-157.346733333333","21.00275","-157.3551","20.9894833333333","-157.594316666667","21.2622166666667","-157.5722","21.308","-157.6948","21.4255333333333","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","-158.192766666667","21.6744","-157.96905","21.7777833333333","-158.272766666667","21.5477833333333","-158.208766666667","21.41835","-158.149383333333","21.3496333333333","-158.10925","21.2648","-157.740783333333","21.5068166666667","","","-157.413266666667","20.9551333333333","-157.5791","20.9085166666667","-157.735066666667","20.8584333333333","-157.346733333333","21.00275","-157.3551","20.9894833333333","-157.594316666667","21.2622166666667","-157.5722","21.308","-157.6948","21.4255333333333","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","-158.192766666667","21.6744","-157.96905","21.7777833333333","-158.272766666667","21.5477833333333","-158.208766666667","21.41835","-158.149383333333","21.3496333333333","-158.10925","21.2648","-157.740783333333","21.5068166666667","","","-157.413266666667","20.9551333333333","-157.5791","20.9085166666667","-157.735066666667","20.8584333333333","-157.346733333333","21.00275","-157.3551","20.9894833333333","-157.5722","21.308","-157.6948","21.4255333333333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","-158.272766666667","21.5477833333333","-158.208766666667","21.41835","-158.149383333333","21.3496333333333","-158.10925","21.2648","","","-157.413266666667","20.9551333333333","-157.5791","20.9085166666667","-157.735066666667","20.8584333333333","-157.346733333333","21.00275","-157.3551","20.9894833333333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","","","-157.413266666667","20.9551333333333","-157.5791","20.9085166666667","-157.735066666667","20.8584333333333","-157.346733333333","21.00275","-157.3551","20.9894833333333","-157.594316666667","21.26245","-157.96905","21.79445","-157.5722","21.308","-157.6948","21.4255333333333","-158.181316666667","21.64375","-157.746583333333","21.4987833333333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","-157.594316666667","21.26245","-157.96905","21.79445","-157.5722","21.308","-157.6948","21.4255333333333","-158.181316666667","21.64375","-157.746583333333","21.4987833333333","-158.272766666667","21.5477833333333","-158.10975","21.2648","-158.149383333333","21.3496333333333","-158.0268","21.2373666666667","-158.208766666667","21.41835","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","-157.594316666667","21.26245","-157.96905","21.79445","-157.5722","21.308","-157.6948","21.4255333333333","-158.181316666667","21.64375","-157.746583333333","21.4987833333333","-158.272766666667","21.5477833333333","-158.10975","21.2648","-158.149383333333","21.3496333333333","-158.0268","21.2373666666667","-158.208766666667","21.41835","-157.813466666667","21.2340333333333","-157.41275","20.9551333333333","-157.3551","20.9894833333333","-157.346733333333","21.00275","-157.735016666667","20.9584833333333","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21","-157.594316666667","21.26245","-157.96905","21.79445","-157.5722","21.308","-157.6948","21.4255333333333","-158.181316666667","21.64375","-157.746583333333","21.4987833333333","-158.272766666667","21.5477833333333","-158.10975","21.2648","-158.149383333333","21.3496333333333","-158.0268","21.2373666666667","-158.208766666667","21.41835","-157.813466666667","21.2340333333333","-157.3551","20.9894833333333","-157.346733333333","21.00275","-157.735016666667","20.9584833333333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22","-157.594316666667","21.26245","-157.96905","21.79445","-157.5722","21.308","-157.6948","21.4255333333333","-158.181316666667","21.64375","-157.746583333333","21.4987833333333","-158.272766666667","21.5477833333333","-158.10975","21.2648","-158.149383333333","21.3496333333333","-158.0268","21.2373666666667","-158.208766666667","21.41835","-157.813466666667","21.2340333333333","-157.735016666667","20.9584833333333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23","-157.594316666667","21.26245","-157.96905","21.79445","-157.5722","21.308","-157.6948","21.4255333333333","-158.181316666667","21.64375","-157.746583333333","21.4987833333333","-158.272766666667","21.5477833333333","-158.10975","21.2648","-158.149383333333","21.3496333333333","-158.0268","21.2373666666667","-158.208766666667","21.41835","-157.813466666667","21.2340333333333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24","-157.594316666667","21.26245","-157.96905","21.79445","-157.5722","21.308","-157.6948","21.4255333333333","-158.181316666667","21.64375","-157.746583333333","21.4987833333333","-158.272766666667","21.5477833333333","-158.10975","21.2648","-158.149383333333","21.3496333333333","-158.0268","21.2373666666667","-158.208766666667","21.41835","-157.813466666667","21.2340333333333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25","-157.96905","21.79445","-158.181316666667","21.64375","-157.746583333333","21.4987833333333","-158.272766666667","21.5477833333333","-158.10975","21.2648","-158.149383333333","21.3496333333333","-158.0268","21.2373666666667","-158.208766666667","21.41835","-157.813466666667","21.2340333333333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26","-157.96905","21.79445","-157.746583333333","21.4987833333333","-157.813466666667","21.2340333333333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27","-157.813466666667","21.2340333333333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
